"AWND","DATE"
8.05,"2023-01-01"
4.92,"2023-01-02"
3.36,"2023-01-03"
5.59,"2023-01-04"
4.25,"2023-01-05"
6.26,"2023-01-06"
10.07,"2023-01-07"
5.82,"2023-01-08"
7.16,"2023-01-09"
7.61,"2023-01-10"
6.04,"2023-01-11"
6.49,"2023-01-12"
13.87,"2023-01-13"
17.9,"2023-01-14"
19.24,"2023-01-15"
10.74,"2023-01-16"
6.26,"2023-01-17"
12.08,"2023-01-18"
5.59,"2023-01-19"
11.86,"2023-01-20"
10.07,"2023-01-21"
7.16,"2023-01-22"
14.76,"2023-01-23"
12.97,"2023-01-24"
8.5,"2023-01-25"
18.34,"2023-01-26"
8.5,"2023-01-27"
8.95,"2023-01-28"
7.61,"2023-01-29"
5.82,"2023-01-30"
10.51,"2023-01-31"
9.4,"2023-02-01"
8.5,"2023-02-02"
21.03,"2023-02-03"
11.41,"2023-02-04"
6.71,"2023-02-05"
11.18,"2023-02-06"
7.38,"2023-02-07"
7.38,"2023-02-08"
3.8,"2023-02-09"
14.32,"2023-02-10"
11.63,"2023-02-11"
4.7,"2023-02-12"
13.42,"2023-02-13"
10.74,"2023-02-14"
11.41,"2023-02-15"
4.7,"2023-02-16"
14.76,"2023-02-17"
13.42,"2023-02-18"
6.49,"2023-02-19"
9.17,"2023-02-20"
8.05,"2023-02-21"
6.49,"2023-02-22"
7.83,"2023-02-23"
16.33,"2023-02-24"
6.04,"2023-02-25"
10.07,"2023-02-26"
8.5,"2023-02-27"
9.17,"2023-02-28"
6.93,"2023-03-01"
11.18,"2023-03-02"
8.72,"2023-03-03"
14.32,"2023-03-04"
13.65,"2023-03-05"
11.18,"2023-03-06"
18.79,"2023-03-07"
17.22,"2023-03-08"
12.97,"2023-03-09"
6.93,"2023-03-10"
14.54,"2023-03-11"
7.38,"2023-03-12"
9.17,"2023-03-13"
20.36,"2023-03-14"
21.7,"2023-03-15"
8.5,"2023-03-16"
6.71,"2023-03-17"
14.32,"2023-03-18"
16.55,"2023-03-19"
8.72,"2023-03-20"
10.51,"2023-03-21"
5.82,"2023-03-22"
8.5,"2023-03-23"
7.16,"2023-03-24"
10.51,"2023-03-25"
12.3,"2023-03-26"
8.05,"2023-03-27"
10.07,"2023-03-28"
9.17,"2023-03-29"
13.42,"2023-03-30"
5.37,"2023-03-31"
14.09,"2023-04-01"
17.22,"2023-04-02"
7.83,"2023-04-03"
4.03,"2023-04-04"
7.83,"2023-04-05"
9.84,"2023-04-06"
14.76,"2023-04-07"
8.28,"2023-04-08"
8.05,"2023-04-09"
6.93,"2023-04-10"
13.65,"2023-04-11"
12.3,"2023-04-12"
11.41,"2023-04-13"
9.17,"2023-04-14"
6.49,"2023-04-15"
5.14,"2023-04-16"
11.41,"2023-04-17"
17,"2023-04-18"
10.07,"2023-04-19"
6.71,"2023-04-20"
7.61,"2023-04-21"
10.29,"2023-04-22"
10.29,"2023-04-23"
8.5,"2023-04-24"
8.05,"2023-04-25"
7.83,"2023-04-26"
4.92,"2023-04-27"
9.4,"2023-04-28"
10.51,"2023-04-29"
8.95,"2023-04-30"
16.78,"2023-05-01"
12.08,"2023-05-02"
9.62,"2023-05-03"
7.61,"2023-05-04"
4.92,"2023-05-05"
7.16,"2023-05-06"
8.28,"2023-05-07"
11.18,"2023-05-08"
7.61,"2023-05-09"
5.37,"2023-05-10"
9.62,"2023-05-11"
8.5,"2023-05-12"
8.95,"2023-05-13"
11.86,"2023-05-14"
10.96,"2023-05-15"
12.53,"2023-05-16"
17.45,"2023-05-17"
8.5,"2023-05-18"
7.83,"2023-05-19"
5.14,"2023-05-20"
11.41,"2023-05-21"
7.16,"2023-05-22"
5.82,"2023-05-23"
6.93,"2023-05-24"
13.65,"2023-05-25"
7.83,"2023-05-26"
6.49,"2023-05-27"
5.59,"2023-05-28"
9.62,"2023-05-29"
8.05,"2023-05-30"
4.92,"2023-05-31"
3.58,"2023-06-01"
5.14,"2023-06-02"
9.4,"2023-06-03"
8.72,"2023-06-04"
10.74,"2023-06-05"
11.18,"2023-06-06"
10.51,"2023-06-07"
6.49,"2023-06-08"
7.16,"2023-06-09"
8.95,"2023-06-10"
5.82,"2023-06-11"
8.72,"2023-06-12"
11.41,"2023-06-13"
10.51,"2023-06-14"
10.29,"2023-06-15"
6.26,"2023-06-16"
13.2,"2023-06-17"
10.29,"2023-06-18"
8.28,"2023-06-19"
7.61,"2023-06-20"
11.18,"2023-06-21"
10.29,"2023-06-22"
6.26,"2023-06-23"
4.47,"2023-06-24"
3.58,"2023-06-25"
7.38,"2023-06-26"
4.92,"2023-06-27"
8.28,"2023-06-28"
7.38,"2023-06-29"
6.04,"2023-06-30"
7.61,"2023-07-01"
7.61,"2023-07-02"
7.16,"2023-07-03"
3.8,"2023-07-04"
6.04,"2023-07-05"
6.49,"2023-07-06"
4.92,"2023-07-07"
5.37,"2023-07-08"
7.38,"2023-07-09"
10.07,"2023-07-10"
7.61,"2023-07-11"
7.16,"2023-07-12"
9.84,"2023-07-13"
7.83,"2023-07-14"
5.82,"2023-07-15"
6.04,"2023-07-16"
6.71,"2023-07-17"
6.04,"2023-07-18"
3.8,"2023-07-19"
6.04,"2023-07-20"
8.5,"2023-07-21"
9.62,"2023-07-22"
6.71,"2023-07-23"
7.38,"2023-07-24"
6.49,"2023-07-25"
6.93,"2023-07-26"
14.32,"2023-07-27"
6.71,"2023-07-28"
12.3,"2023-07-29"
10.96,"2023-07-30"
6.26,"2023-07-31"
10.07,"2023-08-01"
6.49,"2023-08-02"
8.5,"2023-08-03"
9.84,"2023-08-04"
6.71,"2023-08-05"
7.83,"2023-08-06"
9.17,"2023-08-07"
14.09,"2023-08-08"
13.65,"2023-08-09"
3.8,"2023-08-10"
8.72,"2023-08-11"
6.71,"2023-08-12"
9.4,"2023-08-13"
4.7,"2023-08-14"
8.05,"2023-08-15"
5.37,"2023-08-16"
7.61,"2023-08-17"
12.53,"2023-08-18"
11.18,"2023-08-19"
7.61,"2023-08-20"
8.95,"2023-08-21"
13.42,"2023-08-22"
7.83,"2023-08-23"
6.49,"2023-08-24"
5.82,"2023-08-25"
6.26,"2023-08-26"
7.16,"2023-08-27"
6.71,"2023-08-28"
5.14,"2023-08-29"
10.51,"2023-08-30"
13.42,"2023-08-31"
8.5,"2023-09-01"
7.83,"2023-09-02"
8.28,"2023-09-03"
6.04,"2023-09-04"
5.82,"2023-09-05"
6.49,"2023-09-06"
8.05,"2023-09-07"
5.82,"2023-09-08"
6.49,"2023-09-09"
3.58,"2023-09-10"
5.37,"2023-09-11"
6.26,"2023-09-12"
7.38,"2023-09-13"
13.2,"2023-09-14"
14.76,"2023-09-15"
10.74,"2023-09-16"
4.7,"2023-09-17"
7.16,"2023-09-18"
10.29,"2023-09-19"
6.93,"2023-09-20"
7.61,"2023-09-21"
11.18,"2023-09-22"
16.11,"2023-09-23"
12.3,"2023-09-24"
14.54,"2023-09-25"
11.18,"2023-09-26"
9.84,"2023-09-27"
10.96,"2023-09-28"
14.09,"2023-09-29"
10.96,"2023-09-30"
8.95,"2023-10-01"
6.93,"2023-10-02"
4.03,"2023-10-03"
3.36,"2023-10-04"
5.59,"2023-10-05"
4.47,"2023-10-06"
8.95,"2023-10-07"
15.21,"2023-10-08"
9.62,"2023-10-09"
6.04,"2023-10-10"
5.14,"2023-10-11"
5.37,"2023-10-12"
9.17,"2023-10-13"
9.4,"2023-10-14"
12.53,"2023-10-15"
8.28,"2023-10-16"
5.37,"2023-10-17"
4.03,"2023-10-18"
7.16,"2023-10-19"
5.82,"2023-10-20"
13.42,"2023-10-21"
16.78,"2023-10-22"
9.62,"2023-10-23"
5.37,"2023-10-24"
9.17,"2023-10-25"
6.71,"2023-10-26"
7.61,"2023-10-27"
9.62,"2023-10-28"
10.29,"2023-10-29"
9.4,"2023-10-30"
6.93,"2023-10-31"
